category;species;csv file name;fps;scale
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_096xypts.csv;1000;1/2500
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0008xypts.csv;1000;1/3500
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0014xypts.csv;1000;1/3700
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0025xypts.csv;1000;1/3700
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0026xypts.csv;1000;1/3700
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0028xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0031xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0040xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0041xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0043xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0045xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0048xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0054xypts.csv;1000;1/3300
bee-mimic H. pahangensis;H. pahangensis;H.pahangensis_C0056xypts.csv;1000;1/3300
bee-mimic A. argentifasciata;A. argentifasciata;A.argentifasciata_C0139xypts.csv;1000;1/4300
bee-mimic A. argentifasciata;A. argentifasciata;A.argentifasciata_C0140xypts.csv;1000;1/4300
bee-mimic A. argentifasciata;A. argentifasciata;A.argentifasciata_C0141xypts.csv;1000;1/4300
bee-mimic A. argentifasciata;A. argentifasciata;A.argentifasciata_C0145xypts.csv;1000;1/4300
wasp-mimic Pyrophleps;Pyrophleps sp.;Pyrophleps_C0069xypts.csv;500;1/4200
wasp-mimic Pyrophleps;Pyrophleps sp.;Pyrophleps_C0070xypts.csv;500;1/4200
wasp-mimic Pyrophleps;Pyrophleps sp.;Pyrophleps_C0071xypts.csv;500;1/4200
bee-mimic P. cruentata;P. cruentata;P.cruentata_C0056xypts.csv;500;1/2800
bee-mimic P. cruentata;P. cruentata;P.cruentata_C0057xypts.csv;500;1/2800
bee-mimic P. cruentata;P. cruentata;P.cruentata_C0059xypts.csv;500;1/2800
bee-mimic P. cruentata;P. cruentata;P.cruentata_C0060xypts.csv;500;1/2800
bee-mimic P. cruentata;P. cruentata;P.cruentata_C0061xypts.csv;500;1/2800
bee-mimic P. cruentata;P. cruentata;P.cruentata_C0062xypts.csv;1000;1/3800
;;;;
black stingless bee;T. collina;bee_C0011xypts.csv;1000;1/3200
black stingless bee;T. collina;bee_C0012xypts.csv;1000;1/3200
black stingless bee;T. collina;bee_C0015xypts.csv;1000;1/3200
black stingless bee;T. collina;bee_C0016xypts.csv;1000;1/3200
black stingless bee;T. collina;bee_C0027xypts.csv;1000;1/3200
black stingless bee;T. collina;bee_C0042xypts.csv;1000;1/3200
black stingless bee;T. collina;bee_C0052xypts.csv;1000;1/3200
black stingless bee;T. collina;bee_C0054xypts.csv;500;1/3200
black stingless bee;T. collina;bee_C0055xypts.csv;500;1/3200
black stingless bee;T. collina;bee_C0056xypts.csv;500;1/3200
black stingless bee;T. collina;bee_C0064xypts.csv;250;1/3000
black stingless bee;T. collina;bee_C0077xypts.csv;250;1/3000
;;;;
red stingless bee;T. atripes;red_bee_C0001xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0002xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0175xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0176xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0177xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0180xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0183xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0185xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0186xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0187xypts.csv;500;1/2400
red stingless bee;T. atripes;red_bee_C0189xypts.csv;500;1/2400
;;;;
wasp;Tachysphex sp.;wasp_C0012xypts.csv;1000;1/3200
wasp;Tachysphex sp.;wasp_C0031xypts.csv;1000;1/3300
wasp;Tachysphex sp.;wasp_C0032xypts.csv;1000;1/3300
wasp;Tachysphex sp.;wasp_C0033xypts.csv;1000;1/3300
wasp;Tachysphex sp.;wasp_C0034xypts.csv;1000;1/3300
wasp;Tachysphex sp.;wasp_C0035xypts.csv;1000;1/3300
wasp;Tachysphex sp.;wasp_C0036xypts.csv;1000;1/3300
wasp;Tachysphex sp.;wasp_C0039xypts.csv;1000;1/3300
wasp;Tachysphex sp.;wasp_C0040xypts.csv;1000;1/3300
;;;;
dwarf honey bee;A. andreniformis;A.andreniformis_C0023axypts.csv;1000;1/3400
dwarf honey bee;A. andreniformis;A.andreniformis_C0023bxypts.csv;1000;1/3400
dwarf honey bee;A. andreniformis;A.andreniformis_C0030xypts.csv;1000;1/3400
dwarf honey bee;A. andreniformis;A.andreniformis_C0034xypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0036xypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0038xypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0042axypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0042bxypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0045xypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0046xypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0068xypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0069xypts.csv;1000;1/3200
dwarf honey bee;A. andreniformis;A.andreniformis_C0071xypts.csv;1000;1/3200
