Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -43 sec
1,-33.8410273623628,151.293756557251,2010-06-15 13:54:44,Blow,394,0,0,2
1,-33.8410273623628,151.293756557251,2010-06-15 13:54:44,Blow,394,0,0,2
1,-33.8398859802774,151.295827328457,2010-06-15 13:57:14,Blow,216,0,1,1
1,-33.8397718420689,151.296034405578,2010-06-15 13:57:29,Blow,211,0,1,1
1,-33.8387710222014,151.295305624856,2010-06-15 13:57:40,Fluke Up Dive,189,0,2,0
1,-33.8386994300755,151.296840971124,2010-06-15 13:58:12,Blow,185,0,1,1
1,-33.8367659232721,151.295303792995,2010-06-15 13:59:12,-,46,1,1,1
1,-33.8359925205508,151.294688921743,2010-06-15 13:59:36,Blow,134,0,2,1
1,-33.8358313949838,151.294560823566,2010-06-15 13:59:41,Fluke Up Dive,152,0,1,2
1,-33.8355197894745,151.293306826011,2010-06-15 13:59:47,Fluke Up Dive,277,0,1,2
2,-33.8486697634841,151.293270629687,2010-06-15 14:02:29,Arch Dive,350,0,0,2
2,-33.8502904373944,151.288753769741,2010-06-15 14:03:45,Blow,350,0,0,2
2,-33.8501483758678,151.290023977853,2010-06-15 14:03:49,Blow,251,0,1,1
2,-33.8495446143801,151.29542236233,2010-06-15 14:04:06,Blow,350,0,0,2
2,-33.8492855842261,151.295151445703,2010-06-15 14:04:21,Fluke Up Dive,300,0,0,2
2,-33.8487105546487,151.29633048222,2010-06-15 14:06:16,Blow,289,0,1,1
2,-33.8486555518195,151.296443259626,2010-06-15 14:06:27,Blow,300,0,0,2
2,-33.8487282644924,151.296384486574,2010-06-15 14:06:50,Blow,297,0,1,1
2,-33.8487978157447,151.296328268872,2010-06-15 14:07:12,Blow,267,0,1,1
2,-33.848816784268,151.296312936771,2010-06-15 14:07:18,Blow,250,0,1,1
2,-33.8483770292806,151.297446142327,2010-06-15 14:10:01,Blow,197,0,1,1
2,-33.8483527483303,151.297508711959,2010-06-15 14:10:10,Blow,200,0,1,1
2,-33.8484432314488,151.297520637597,2010-06-15 14:10:19,Blow,200,0,1,1
2,-33.8483698662296,151.298375497778,2010-06-15 14:10:50,Blow,221,0,1,1
2,-33.8483414667899,151.298706411396,2010-06-15 14:11:02,Blow,223,0,1,1
2,-33.8483154339702,151.29900974888,2010-06-15 14:11:13,Blow,226,0,1,1
2,-33.8481012733383,151.299143775258,2010-06-15 14:11:28,Fluke Up Dive,206,0,1,1
2,-33.8473451418522,151.299818005569,2010-06-15 14:13:22,-,227,0,1,1
2,-33.8470599343619,151.300072320511,2010-06-15 14:14:05,Blow,256,0,1,1
2,-33.8469936070385,151.30013146352,2010-06-15 14:14:15,Blow,264,0,1,1
2,-33.8468675851242,151.300243835239,2010-06-15 14:14:34,Other,273,0,1,1
2,-33.8467481959421,151.300350292656,2010-06-15 14:14:52,Blow,257,0,1,1
2,-33.8467282977451,151.300368035559,2010-06-15 14:14:55,Fluke Up Dive,250,0,1,1
2,-33.8461043916705,151.301070370662,2010-06-15 14:16:27,-,173,0,2,0
2,-33.8459280703885,151.30126885667,2010-06-15 14:16:53,-,124,0,2,0
2,-33.8453448538404,151.30192538731,2010-06-15 14:18:19,Blow,184,0,2,0
2,-33.8453524641382,151.302089423426,2010-06-15 14:18:34,Blow,225,0,2,0
2,-33.845371236206,151.302494045845,2010-06-15 14:19:11,Other,259,0,1,1
2,-33.8454779455774,151.302401093162,2010-06-15 14:19:17,Blow,240,0,1,1
2,-33.8452861505991,151.302618673955,2010-06-15 14:19:43,Other,215,0,1,1
2,-33.8451138570093,151.302614587484,2010-06-15 14:19:58,Other,185,0,1,1
2,-33.8450202720135,151.302599113121,2010-06-15 14:20:07,Other,161,0,1,1
2,-33.8450893004519,151.302447407199,2010-06-15 14:20:19,Blow,123,0,1,1
2,-33.8451519681848,151.302552528112,2010-06-15 14:20:32,Other,110,0,1,1
2,-33.8449551291873,151.302730235242,2010-06-15 14:21:01,Other,87,1,0,1
2,-33.8449298316203,151.302783457132,2010-06-15 14:21:22,Blow,94,1,0,1
2,-33.8447681416068,151.302838208466,2010-06-15 14:21:48,Other,100,1,0,1
2,-33.8444664133716,151.303056580107,2010-06-15 14:22:54,Fluke Up Dive,107,0,1,1
2,-33.8429398953462,151.303800858476,2010-06-15 14:25:14,Blow,211,0,1,1
2,-33.8427572855312,151.303803418336,2010-06-15 14:25:50,Other,224,0,1,0
2,-33.8427471405415,151.30380356055,2010-06-15 14:25:52,Blow,225,0,1,1
2,-33.84262032817,151.303805338231,2010-06-15 14:26:17,Other,192,0,1,1
2,-33.8427208482418,151.304088895344,2010-06-15 14:26:37,Other,160,0,1,1
2,-33.8427384252768,151.304231337511,2010-06-15 14:26:53,Other,139,0,1,1
2,-33.8428811212422,151.304110957579,2010-06-15 14:26:59,Blow,114,0,1,1
2,-33.8425391537311,151.304389576917,2010-06-15 14:27:23,Other,103,0,1,1
2,-33.8426026952836,151.304557653498,2010-06-15 14:27:59,Other,96,1,0,1
2,-33.8424691506709,151.30466133536,2010-06-15 14:28:33,Blow,92,1,0,1
2,-33.8423089333858,151.304798662738,2010-06-15 14:29:10,Other,92,1,1,0
2,-33.8419694500062,151.30497379147,2010-06-15 14:29:44,Other,97,1,0,1
2,-33.8418208442452,151.304978664211,2010-06-15 14:30:12,Blow,98,1,1,0
2,-33.841741234016,151.304981274607,2010-06-15 14:30:27,Fluke Up Dive,97,1,1,0
2,-33.841706779934,151.305030440479,2010-06-15 14:32:36,-,93,1,1,0
2,-33.8416955623259,151.305046447973,2010-06-15 14:33:18,-,94,1,1,0
