Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -15 sec
1,-33.8593795497614,151.348753729537,2010-06-29 10:34:27,Blow,171,0,1,1
1,-33.8593909938531,151.348753729423,2010-06-29 10:34:28,Blow,170,0,1,1
1,-33.8594749171929,151.34878424616,2010-06-29 10:34:42,Blow,168,0,1,1
1,-33.8599136073784,151.348738465397,2010-06-29 10:34:56,Blow,176,0,1,1
1,-33.860158897469,151.348285979045,2010-06-29 10:35:12,Blow,231,0,1,1
1,-33.860158897469,151.348285979045,2010-06-29 10:35:13,Blow,231,0,1,1
1,-33.8606264533236,151.34798105332,2010-06-29 10:35:30,Blow,287,0,1,1
1,-33.8598364071503,151.348939978584,2010-06-29 10:35:50,Blow,183,0,2,0
1,-33.8603426969994,151.349736650046,2010-06-29 10:36:08,Blow,165,0,2,1
1,-33.8580999896979,151.351499220753,2010-06-29 10:40:15,-,56,1,1,1
1,-33.8562749525822,151.352933539426,2010-06-29 10:43:36,Blow,150,0,1,2
1,-33.8558874310828,151.35320199758,2010-06-29 10:43:44,Blow,156,0,1,2
1,-33.8555176252688,151.353424830093,2010-06-29 10:43:52,Blow,152,0,1,2
1,-33.8554259034396,151.353160065643,2010-06-29 10:44:02,Blow,103,0,2,1
1,-33.8554252874628,151.353342418827,2010-06-29 10:44:10,Blow,94,1,1,1
1,-33.8550730023964,151.353458123845,2010-06-29 10:44:31,Blow,86,1,1,1
1,-33.8553146077125,151.35341596289,2010-06-29 10:44:36,Blow,76,1,1,1
1,-33.855421138537,151.353566410714,2010-06-29 10:44:46,Blow,89,1,0,2
1,-33.8553728223839,151.353426407283,2010-06-29 10:44:47,Blow,75,1,1,1
1,-33.8553183208765,151.353788481982,2010-06-29 10:45:07,Blow,99,1,0,2
1,-33.8553068767847,151.353818999427,2010-06-29 10:45:08,Blow,99,1,0,2
1,-33.8551466956488,151.353958355617,2010-06-29 10:45:20,Blow,102,0,1,2
1,-33.8551575524515,151.353999653096,2010-06-29 10:45:21,Blow,106,0,1,2
1,-33.8539305429644,151.354372971232,2010-06-29 10:47:15,-,34,2,1,0
1,-33.8536506986954,151.354458113965,2010-06-29 10:47:41,-,34,2,1,0
1,-33.8502172247797,151.355502749803,2010-06-29 10:53:00,Blow,68,1,2,0
1,-33.8496438320226,151.355280874025,2010-06-29 10:53:16,Blow,77,1,2,0
1,-33.8489407395581,151.354952186927,2010-06-29 10:53:28,Blow,129,0,3,0
1,-33.8486920964457,151.354985960692,2010-06-29 10:53:41,Blow,105,0,3,0
1,-33.8486920964457,151.354985960692,2010-06-29 10:53:41,Blow,105,0,3,0
1,-33.8488004314513,151.356608796676,2010-06-29 10:54:42,Arch Dive,119,0,3,0
1,-33.8487713603419,151.356617845327,2010-06-29 10:54:43,Blow,117,0,3,0
1,-33.8485071882493,151.356937254198,2010-06-29 10:55:02,Blow,128,0,3,0
1,-33.8484932844549,151.356954065191,2010-06-29 10:55:03,Blow,127,0,3,0
1,-33.8427000972994,151.35808841202,2010-06-29 11:02:35,Blow,166,0,3,0
1,-33.8428458140266,151.357927276617,2010-06-29 11:02:36,Blow,144,0,3,0
1,-33.8424811970058,151.357913843298,2010-06-29 11:02:48,Blow,138,0,3,0
1,-33.8426541947191,151.357975877346,2010-06-29 11:02:49,Blow,123,0,3,0
1,-33.8426193199893,151.358141303109,2010-06-29 11:03:01,Blow,111,0,3,0
1,-33.8425971269988,151.358037525247,2010-06-29 11:03:04,Blow,98,1,2,0
1,-33.8423416290517,151.358240670419,2010-06-29 11:03:24,Blow,99,1,2,0
1,-33.8423227470973,151.358133302931,2010-06-29 11:03:25,Blow,89,1,2,0
1,-33.8422276414936,151.358255553085,2010-06-29 11:03:41,Blow,94,1,2,0
1,-33.8419760623403,151.358249751496,2010-06-29 11:04:07,Blow,85,1,2,0
1,-33.8419089931221,151.358260662102,2010-06-29 11:04:08,Blow,86,1,2,0
1,-33.8416495893037,151.358429873156,2010-06-29 11:04:28,Blow,96,1,2,0
1,-33.8416152614326,151.358336952849,2010-06-29 11:04:29,Blow,86,1,2,0
1,-33.8414253471328,151.358528269085,2010-06-29 11:04:58,Blow,91,1,2,0
1,-33.8411479631845,151.358465964187,2010-06-29 11:05:13,Fluke Up Dive,81,1,2,0
1,-33.8409880557487,151.358631210592,2010-06-29 11:05:40,Fluke Up Dive,85,1,2,0
1,-33.8406549189537,151.358805497121,2010-06-29 11:06:14,-,90,1,2,0
1,-33.836765056965,151.360840548657,2010-06-29 11:12:51,Blow,200,0,3,0
1,-33.8362438296012,151.361241045975,2010-06-29 11:13:09,Blow,200,0,2,0
1,-33.8362024851876,151.361306178397,2010-06-29 11:13:19,Blow,184,0,2,0
1,-33.8360998585377,151.361147256367,2010-06-29 11:13:20,Blow,162,0,2,0
1,-33.8359478191875,151.361485041928,2010-06-29 11:13:32,Blow,150,0,2,0
1,-33.8357676283353,151.361454498655,2010-06-29 11:13:40,Blow,121,0,1,0
