Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -28 sec
1,-33.8234149634428,151.346348439729,2010-07-11 10:21:00,Blow,131,0,1,1
2,-33.8095950124899,151.390272993513,2010-07-11 11:04:16,Blow,367,0,0,5
2,-33.8077568182173,151.392191076194,2010-07-11 11:05:21,Blow,350,0,0,5
2,-33.8073521366302,151.392118247342,2010-07-11 11:05:36,Blow,299,0,1,4
2,-33.8068934974982,151.392035707977,2010-07-11 11:05:53,Blow,250,0,1,4
2,-33.805058628114,151.3929359453,2010-07-11 11:06:28,Blow,250,0,1,4
2,-33.8044155043197,151.393476356824,2010-07-11 11:07:02,Blow,150,0,1,4
2,-33.8033484946101,151.394475814786,2010-07-11 11:07:34,Arch Dive,164,0,1,5
2,-33.8023043112931,151.395992444738,2010-07-11 11:10:17,-,159,0,2,2
2,-33.8014330908568,151.397257853778,2010-07-11 11:12:33,-,280,0,1,3
2,-33.8009013901494,151.398030125471,2010-07-11 11:13:56,Blow,422,0,0,4
2,-33.8004361943915,151.401038687804,2010-07-11 11:15:27,Blow,300,0,0,4
2,-33.8005390107222,151.401519714406,2010-07-11 11:15:52,Blow,252,0,2,2
2,-33.8001992850634,151.402000506814,2010-07-11 11:16:17,Blow,173,0,4,0
2,-33.7998995976724,151.402157706629,2010-07-11 11:16:31,Blow,132,0,4,0
2,-33.8000053530834,151.402567483639,2010-07-11 11:16:47,Arch Dive,138,0,4,0
3,-33.7942616994491,151.408625851822,2010-07-11 11:23:47,Blow,308,0,0,5
3,-33.7936128357799,151.408324520837,2010-07-11 11:24:07,Blow,338,0,0,5
3,-33.7941773862405,151.410847609851,2010-07-11 11:24:42,Blow,125,0,2,4
3,-33.7914582630952,151.40909513679,2010-07-11 11:25:14,Blow,257,0,1,4
3,-33.7906565049631,151.4098004677,2010-07-11 11:25:51,Blow,200,0,2,3
3,-33.7903432120687,151.410274460648,2010-07-11 11:26:09,Blow,175,0,2,4
3,-33.788016733347,151.412524978224,2010-07-11 11:28:30,-,123,0,2,2
3,-33.7867792446653,151.413722062042,2010-07-11 11:29:45,-,167,0,3,1
3,-33.7852282588508,151.415222407093,2010-07-11 11:31:19,Blow,120,0,3,1
3,-33.7856950606965,151.415609876356,2010-07-11 11:31:35,Blow,153,0,3,1
3,-33.7855802802854,151.416487584652,2010-07-11 11:31:57,Blow,182,0,2,2
3,-33.7854446307085,151.417524876274,2010-07-11 11:32:23,Blow,190,0,2,2
3,-33.7854268107287,151.417614275959,2010-07-11 11:32:41,Blow,195,0,2,3
3,-33.7856361081401,151.417995332847,2010-07-11 11:32:58,Blow,214,0,2,2
3,-33.7856992626032,151.418385075458,2010-07-11 11:33:21,Blow,220,0,2,2
3,-33.7855847112564,151.418515080816,2010-07-11 11:33:38,Blow,208,0,4,0
3,-33.7854933189719,151.419259025291,2010-07-11 11:34:02,Blow,223,0,4,0
3,-33.7810942624985,151.421087915096,2010-07-11 11:39:45,-,158,0,3,1
3,-33.7800169425459,151.421535806477,2010-07-11 11:41:09,Blow,217,0,2,1
3,-33.7792986624104,151.421561249768,2010-07-11 11:41:28,Blow,261,0,1,2
3,-33.7788065664654,151.421256104805,2010-07-11 11:41:49,Blow,225,0,1,2
3,-33.7782286823864,151.421505034868,2010-07-11 11:42:08,Blow,207,0,1,2
3,-33.7777585387451,151.420881821749,2010-07-11 11:42:32,Blow,208,0,1,2
3,-33.7777056909333,151.421097567003,2010-07-11 11:42:57,Blow,184,0,1,2
3,-33.7773854248769,151.421490284508,2010-07-11 11:43:18,Blow,180,0,2,1
3,-33.7768638608078,151.421893348864,2010-07-11 11:43:47,Blow,185,0,3,0
3,-33.775927093549,151.421762575431,2010-07-11 11:44:26,Blow,214,0,2,1
3,-33.7755537615722,151.421833534735,2010-07-11 11:45:04,Blow,199,0,3,0
3,-33.7755046389437,151.421842871486,2010-07-11 11:45:09,Blow,198,0,3,0
3,-33.7747347571817,151.422078759421,2010-07-11 11:45:38,-,209,0,3,1
3,-33.7744161854181,151.422176368222,2010-07-11 11:45:50,Blow,214,0,3,1
3,-33.7737216657003,151.422343383248,2010-07-11 11:46:18,Blow,211,0,3,1
3,-33.7731287022392,151.422717335687,2010-07-11 11:46:50,Blow,189,0,3,1
3,-33.7722602848249,151.423209898261,2010-07-11 11:47:28,Blow,199,0,2,2
3,-33.770910155587,151.423778247854,2010-07-11 11:48:22,-,182,0,2,2
3,-33.7707101364406,151.423862447794,2010-07-11 11:48:30,Blow,182,0,2,2
3,-33.7702114180269,151.424215442682,2010-07-11 11:48:59,Blow,155,0,2,2
3,-33.7701275176413,151.424675965028,2010-07-11 11:49:30,-,130,0,2,2
3,-33.770013846151,151.42529989853,2010-07-11 11:50:12,Blow,111,0,2,1
3,-33.7704127858383,151.425175432052,2010-07-11 11:50:40,Blow,66,1,1,1
