Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction 16 sec
1,-33.8742573492552,151.325804836342,2010-07-24 10:22:00,Blow,4000,0,0,1
1,-33.8741311222289,151.3260815711,2010-07-24 10:22:18,-,3858,0,0,1
1,-33.8741100843912,151.32612769356,2010-07-24 10:22:21,-,3825,0,0,1
1,-33.8739558069147,151.326465924932,2010-07-24 10:22:43,Blow,3639,0,0,1
1,-33.8726444483641,151.329340891593,2010-07-24 10:25:50,-,62,1,0,1
1,-33.8719852627825,151.330786062001,2010-07-24 10:27:24,-,272,0,1,1
1,-33.8715995690912,151.33163164043,2010-07-24 10:28:19,-,231,0,1,1
1,-33.8711858249496,151.332538715473,2010-07-24 10:29:18,Blow,189,0,1,1
1,-33.87067213033,151.332337465297,2010-07-24 10:29:34,Blow,123,0,1,1
1,-33.87067213033,151.332337465297,2010-07-24 10:29:34,Blow,123,0,1,1
1,-33.8705713038759,151.332417945037,2010-07-24 10:29:49,Blow,99,1,0,1
1,-33.8705713038759,151.332417945037,2010-07-24 10:29:49,Blow,99,1,0,1
1,-33.869503673235,151.333036518712,2010-07-24 10:30:31,-,68,1,0,1
1,-33.8694274139035,151.333080702546,2010-07-24 10:30:34,Arch Dive,67,1,0,1
2,-33.8622819325945,151.34025972921,2010-07-24 10:37:44,Arch Dive,197,0,2,0
2,-33.8622819325945,151.34025972921,2010-07-24 10:37:44,Blow,197,0,2,0
2,-33.8618155088645,151.340533663471,2010-07-24 10:38:09,Blow,192,0,2,0
2,-33.8618155088645,151.340533663471,2010-07-24 10:38:09,Blow,192,0,2,0
2,-33.8616561466955,151.340736767165,2010-07-24 10:38:19,-,172,0,2,0
2,-33.8615924018279,151.340818008643,2010-07-24 10:38:23,Blow,165,0,2,0
2,-33.8616345636563,151.340895857198,2010-07-24 10:38:25,Blow,153,0,2,0
2,-33.8613751813229,151.341012975415,2010-07-24 10:38:37,-,147,0,2,1
2,-33.861288720545,151.34105201482,2010-07-24 10:38:41,Arch Dive,147,0,2,1
2,-33.8609977019126,151.341412022582,2010-07-24 10:39:02,Fluke Up Dive,128,0,2,1
2,-33.8603332642469,151.341657353449,2010-07-24 10:39:39,-,147,0,2,1
2,-33.8590043889155,151.342148015182,2010-07-24 10:40:53,-,87,1,1,1
2,-33.8539402964364,151.34401783422,2010-07-24 10:45:35,-,97,1,1,1
2,-33.8534733942929,151.344190228883,2010-07-24 10:46:01,Blow,71,1,1,1
2,-33.8534733942929,151.344190228883,2010-07-24 10:46:01,Blow,71,1,1,1
2,-33.8537477725604,151.343888663404,2010-07-24 10:46:16,Blow,94,1,1,1
2,-33.8537477725604,151.343888663404,2010-07-24 10:46:16,Blow,94,1,1,1
2,-33.85375139583,151.344038705374,2010-07-24 10:46:35,Blow,63,1,1,1
2,-33.85375139583,151.344038705374,2010-07-24 10:46:35,Blow,63,1,1,1
2,-33.8531129415473,151.344680906552,2010-07-24 10:46:49,-,37,2,0,1
2,-33.8530217337927,151.344772649577,2010-07-24 10:46:51,Blow,32,2,0,1
2,-33.8530217337927,151.344772649577,2010-07-24 10:46:51,Blow,32,2,0,1
2,-33.8526280844473,151.344440044906,2010-07-24 10:47:02,-,20,2,1,0
2,-33.8523417940143,151.3441981506,2010-07-24 10:47:10,Blow,36,1,2,0
2,-33.8523417940143,151.3441981506,2010-07-24 10:47:10,Blow,36,1,2,0
2,-33.8520912898854,151.343986493082,2010-07-24 10:47:17,Arch Dive,54,1,2,0
2,-33.8520912898854,151.343986493082,2010-07-24 10:47:17,Fluke Up Dive,54,1,2,0
2,-33.8518049994524,151.343744598775,2010-07-24 10:47:25,-,77,1,2,0
2,-33.8514471364112,151.343442230892,2010-07-24 10:47:35,Fluke Up Dive,112,0,3,0
2,-33.8512216376608,151.343469237942,2010-07-24 10:47:49,-,110,0,3,0
2,-33.8506256766775,151.343540613714,2010-07-24 10:48:26,-,108,0,3,0
2,-33.8446177456842,151.344260158667,2010-07-24 10:54:39,-,169,0,2,1
2,-33.844424461041,151.344283307567,2010-07-24 10:54:51,Blow,166,0,2,1
2,-33.8436445923053,151.344427340514,2010-07-24 10:55:04,Blow,185,0,2,1
2,-33.8436445923053,151.344427340514,2010-07-24 10:55:04,Blow,185,0,2,1
2,-33.8434414254691,151.344582404212,2010-07-24 10:55:19,Blow,166,0,2,1
2,-33.8434007921019,151.344613416952,2010-07-24 10:55:22,Blow,163,0,2,1
2,-33.8437861954118,151.34490819969,2010-07-24 10:55:40,Blow,114,0,3,0
2,-33.8437861954118,151.34490819969,2010-07-24 10:55:40,Blow,114,0,3,0
2,-33.8426675593022,151.344677313253,2010-07-24 10:56:01,Blow,157,0,3,0
2,-33.8425610225298,151.344655324068,2010-07-24 10:56:03,Blow,162,0,3,0
