Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction 3 sec
1,-33.819796443333,151.319761472661,2010-10-17 13:53:38,Blow,78,1,1,0
1,-33.819796443333,151.319761472661,2010-10-17 13:53:38,Blow,78,1,1,0
1,-33.819421582232,151.319655059094,2010-10-17 13:53:51,Blow,81,1,1,0
1,-33.819421582232,151.319655059094,2010-10-17 13:53:51,Breach,81,1,1,0
1,-33.8197641710108,151.319363950523,2010-10-17 13:54:14,Breach,109,0,3,0
1,-33.8200173888038,151.319148783318,2010-10-17 13:54:31,Breach,131,0,3,1
1,-33.8201514452824,151.319034871268,2010-10-17 13:54:40,Breach,145,0,3,1
1,-33.8203897679111,151.318832360958,2010-10-17 13:54:56,Breach,166,0,3,1
1,-33.8205196747218,151.318774556862,2010-10-17 13:55:06,Breach,173,0,3,1
1,-33.8207145349377,151.318687850719,2010-10-17 13:55:21,Breach,184,0,3,1
1,-33.8208254451149,151.318647400725,2010-10-17 13:55:31,Fluke Up Dive,186,0,3,1
1,-33.8212025397173,151.318509870748,2010-10-17 13:56:05,Blow,141,0,3,1
1,-33.8211962214344,151.318383571681,2010-10-17 13:56:18,Blow,116,0,3,1
1,-33.8212404637862,151.318246145231,2010-10-17 13:56:22,Breach,100,1,2,1
1,-33.8214658116308,151.318164520354,2010-10-17 13:56:44,Breach,99,1,2,1
1,-33.8216399440561,151.318101446586,2010-10-17 13:57:01,Breach,110,0,3,1
1,-33.8217321318107,151.318068054591,2010-10-17 13:57:10,Breach,118,0,3,2
1,-33.8218652919006,151.318019821709,2010-10-17 13:57:23,Blow,133,0,3,2
1,-33.8221623413321,151.31791222528,2010-10-17 13:57:52,Breach,144,0,3,2
1,-33.8222379715431,151.317841873578,2010-10-17 13:58:01,Fluke Up Dive,145,0,3,2
1,-33.8224732655331,151.317623001615,2010-10-17 13:58:29,Breach,148,0,3,2
1,-33.822557299101,151.317544833057,2010-10-17 13:58:39,Fluke Up Dive,150,0,3,2
1,-33.8228009964477,151.317318144238,2010-10-17 13:59:08,Blow,157,0,2,3
1,-33.8229018367292,151.317224341968,2010-10-17 13:59:20,Blow,160,0,2,3
1,-33.822985870297,151.31714617341,2010-10-17 13:59:30,Blow,163,0,2,3
1,-33.8230194837242,151.317114905987,2010-10-17 13:59:34,Breach,164,0,2,4
1,-33.8230867105784,151.31705237114,2010-10-17 13:59:42,Breach,167,0,2,3
1,-33.8232022010566,151.316964550325,2010-10-17 13:59:58,Breach,166,0,2,3
1,-33.8232888189152,151.316898684714,2010-10-17 14:00:10,Blow,166,0,2,3
1,-33.8232888189152,151.316898684714,2010-10-17 14:00:10,Blow,166,0,2,3
1,-33.8233826549287,151.316827330302,2010-10-17 14:00:23,Breach,166,0,2,3
1,-33.8233970912385,151.3168163527,2010-10-17 14:00:25,Blow,166,0,2,3
1,-33.8235631088009,151.316690110278,2010-10-17 14:00:48,Blow,166,0,2,3
1,-33.8235703269557,151.316684621477,2010-10-17 14:00:49,Breach,166,0,2,3
1,-33.8237291263632,151.316563867857,2010-10-17 14:01:11,Blow,166,0,3,2
1,-33.8238518349963,151.316470558241,2010-10-17 14:01:28,Breach,132,0,4,2
1,-33.8240230534754,151.316290522777,2010-10-17 14:01:45,Breach,137,0,4,2
1,-33.8239716563167,151.316189791318,2010-10-17 14:01:56,Breach,128,0,4,2
1,-33.8242208036903,151.316064509228,2010-10-17 14:02:10,Blow,142,0,4,2
1,-33.8245411360277,151.315903432256,2010-10-17 14:02:28,Breach,162,0,4,2
1,-33.8247074277282,151.315792378337,2010-10-17 14:02:42,Breach,171,0,4,2
1,-33.824897475386,151.315665459572,2010-10-17 14:02:58,Breach,175,0,4,2
1,-33.8252775707015,151.315411622044,2010-10-17 14:03:30,Breach,178,0,4,2
1,-33.8253296265017,151.315290919171,2010-10-17 14:03:48,Breach,160,0,3,2
1,-33.8253701143464,151.315197039159,2010-10-17 14:04:02,Breach,146,0,3,2
1,-33.8254327804019,151.315142319541,2010-10-17 14:04:12,Breach,140,0,3,2
1,-33.8255330460906,151.315054768152,2010-10-17 14:04:28,Breach,130,0,4,1
1,-33.8255569955737,151.315069263162,2010-10-17 14:04:30,Blow,130,0,4,1
1,-33.8256887177308,151.315148985717,2010-10-17 14:04:41,Breach,133,0,4,1
1,-33.8259527656474,151.315081547114,2010-10-17 14:04:57,Breach,142,0,4,1
1,-33.8260022746318,151.315068902376,2010-10-17 14:05:00,Other,143,0,4,1
1,-33.8260187776266,151.315064687464,2010-10-17 14:05:01,Blow,144,0,4,1
1,-33.8260682866109,151.315052042726,2010-10-17 14:05:04,Blow,145,0,4,1
1,-33.8262498195536,151.315005678687,2010-10-17 14:05:15,Other,152,0,4,1
1,-33.8262663225484,151.315001463774,2010-10-17 14:05:16,Other,152,0,4,1
1,-33.8262828255432,151.314997248861,2010-10-17 14:05:17,Other,153,0,4,1
1,-33.8262860599916,151.31504630673,2010-10-17 14:05:21,Blow,149,0,4,1
1,-33.8262884858279,151.315083100131,2010-10-17 14:05:24,Blow,146,0,4,1
1,-33.826313428823,151.315143195634,2010-10-17 14:05:28,Other,145,0,4,1
1,-33.8263196645718,151.31515821951,2010-10-17 14:05:29,Blow,145,0,4,1
1,-33.8263133939449,151.315152574466,2010-10-17 14:05:31,Blow,142,0,4,1
1,-33.826300852691,151.315141284377,2010-10-17 14:05:35,Arch Dive,135,0,4,1
1,-33.8278794460539,151.316974143405,2010-10-17 14:05:53,Arch Dive,144,0,1,6
1,-33.8284541290562,151.316987840807,2010-10-17 14:07:26,-,164,0,1,6
1,-33.8293686783502,151.317009638823,2010-10-17 14:09:54,-,180,0,2,5
1,-33.8298383117714,151.3170208324,2010-10-17 14:11:10,-,168,0,2,3
1,-33.8299433613524,151.317023336226,2010-10-17 14:11:27,-,156,0,3,3
1,-33.830023693385,151.317025250916,2010-10-17 14:11:40,Blow,137,0,3,2
1,-33.830023693385,151.317025250916,2010-10-17 14:11:40,Blow,137,0,3,2
1,-33.8300836990971,151.317047399676,2010-10-17 14:12:02,Blow,154,0,3,2
1,-33.8300891541619,151.317049413199,2010-10-17 14:12:04,Blow,155,0,3,2
1,-33.8301082468884,151.317056460532,2010-10-17 14:12:11,Fluke Up Dive,154,0,3,2
1,-33.8301476154253,151.317071962762,2010-10-17 14:12:15,Arch Dive,153,0,3,4
1,-33.8314369350083,151.317579660822,2010-10-17 14:14:26,-,192,0,5,2
1,-33.8317223569007,151.317692051995,2010-10-17 14:14:55,-,96,1,4,2
1,-33.8328542023361,151.318137741132,2010-10-17 14:16:50,-,230,0,3,3
1,-33.8333955197183,151.318350896805,2010-10-17 14:17:45,-,171,0,3,3
1,-33.8336907837449,151.318467163537,2010-10-17 14:18:15,Blow,178,0,3,3
