Pod,Latitude,Longitude,Time,Behaviour,Closest boat (m),Boats < 100,Boats < 300,Boats > 300
# Time correction -24 sec
1,-33.8317554108979,151.305116234005,2010-11-12 13:35:00,Breach,1250,0,0,1
1,-33.83181918598,151.30532630895,2010-11-12 13:35:15,-,169,0,1,1
1,-33.8318574510293,151.305452353917,2010-11-12 13:35:24,-,183,0,1,1
1,-33.8318702060457,151.305494368906,2010-11-12 13:35:27,Breach,189,0,1,1
1,-33.8318816501373,151.309537949456,2010-11-12 13:36:01,Breach,68,1,0,1
1,-33.832997416448,151.311783206611,2010-11-12 13:36:40,Blow,119,0,1,1
1,-33.8340136004967,151.312061911959,2010-11-12 13:37:00,Blow,127,0,1,1
1,-33.8335833896838,151.312256252801,2010-11-12 13:37:44,Breach,37,1,0,1
1,-33.8335615567411,151.312871992138,2010-11-12 13:38:06,Breach,53,1,0,1
1,-33.8335556023022,151.313039921048,2010-11-12 13:38:12,Blow,59,1,0,1
1,-33.8337507245582,151.312821057442,2010-11-12 13:38:40,-,71,1,1,0
1,-33.8338622229902,151.312695992524,2010-11-12 13:38:56,Blow,78,1,1,0
1,-33.8338622229902,151.312695992524,2010-11-12 13:38:56,Blow,78,1,1,0
1,-33.8340563023403,151.312563714185,2010-11-12 13:39:15,Blow,88,1,1,0
1,-33.8341982754942,151.312408778757,2010-11-12 13:39:29,-,72,1,1,0
1,-33.8342286983129,151.312375578308,2010-11-12 13:39:32,Blow,68,1,1,0
1,-33.8343098258295,151.312287043778,2010-11-12 13:39:40,Blow,59,1,1,0
1,-33.8343874054094,151.312211577353,2010-11-12 13:39:49,Arch Dive,50,1,1,0
1,-33.8344218852226,151.31217803672,2010-11-12 13:39:53,Fluke Up Dive,47,1,1,0
1,-33.8345598044757,151.312043874187,2010-11-12 13:40:09,-,32,1,1,0
1,-33.8353873199943,151.311238898991,2010-11-12 13:41:45,-,32,1,1,0
1,-33.8358269376135,151.310811255918,2010-11-12 13:42:36,Blow,60,1,0,1
1,-33.8361335108863,151.310961244395,2010-11-12 13:43:09,Arch Dive,53,1,1,0
1,-33.8361335108863,151.310961244395,2010-11-12 13:43:09,Blow,53,1,1,0
1,-33.8365745511076,151.31071427828,2010-11-12 13:43:27,Blow,77,1,1,0
1,-33.8369175823909,151.310522193525,2010-11-12 13:43:41,Arch Dive,97,1,1,0
1,-33.8369166479384,151.310512652183,2010-11-12 13:43:43,Blow,94,1,1,0
1,-33.8369129101283,151.310474486816,2010-11-12 13:43:51,Arch Dive,84,1,1,0
1,-33.8371263467863,151.310353234545,2010-11-12 13:44:04,-,90,1,1,0
1,-33.8371756013997,151.310325253252,2010-11-12 13:44:07,Fluke Up Dive,91,1,1,0
1,-33.8373962901396,151.309589197849,2010-11-12 13:44:14,Blow,154,0,2,0
1,-33.837522397991,151.309168594761,2010-11-12 13:44:18,Arch Dive,193,0,1,1
1,-33.8377272989054,151.309106701429,2010-11-12 13:44:38,-,200,0,2,0
1,-33.8387518034771,151.308797234773,2010-11-12 13:46:18,-,256,0,1,1
1,-33.8389771944829,151.308729152108,2010-11-12 13:46:40,-,272,0,1,1
1,-33.8414667405922,151.307977148133,2010-11-12 13:50:43,Blow,269,0,1,1
1,-33.8416313903742,151.307952487536,2010-11-12 13:50:58,-,250,0,1,1
1,-33.8417192035913,151.307939335218,2010-11-12 13:51:06,Arch Dive,239,0,1,1
1,-33.8417192035913,151.307939335218,2010-11-12 13:51:06,Blow,239,0,1,1
1,-33.8419606899382,151.307903166343,2010-11-12 13:51:28,Blow,211,0,1,1
1,-33.8419936198946,151.307898234224,2010-11-12 13:51:31,Blow,207,0,1,1
1,-33.8419936198946,151.307898234224,2010-11-12 13:51:31,Blow,207,0,1,1
1,-33.8422905401024,151.307542858249,2010-11-12 13:51:51,-,205,0,2,0
1,-33.8423202321232,151.307507320651,2010-11-12 13:51:53,Arch Dive,204,0,2,0
1,-33.8426831031047,151.306960416376,2010-11-12 13:52:15,Fluke Up Dive,194,0,2,0
1,-33.8426831031047,151.306960416376,2010-11-12 13:52:15,Blow,194,0,2,0
1,-33.8428632929848,151.306921023242,2010-11-12 13:52:27,-,175,0,2,0
1,-33.8429684037483,151.306898043913,2010-11-12 13:52:34,Arch Dive,165,0,2,0
1,-33.8432234980387,151.306813482016,2010-11-12 13:52:54,-,154,0,2,0
1,-33.8458637239451,151.305938266378,2010-11-12 13:56:21,Blow,75,1,1,0
1,-33.8461742532577,151.305687919427,2010-11-12 13:56:45,Blow,66,1,1,0
1,-33.846368334078,151.305531452582,2010-11-12 13:57:00,-,61,1,1,0
1,-33.8466659246693,151.305291536754,2010-11-12 13:57:23,Blow,59,1,1,0
1,-33.8467435569974,151.305228950016,2010-11-12 13:57:29,Blow,59,1,1,0
1,-33.8468935504246,151.305196909136,2010-11-12 13:57:35,-,68,1,1,0
1,-33.8473185318017,151.305106126645,2010-11-12 13:57:52,Blow,94,1,1,0
1,-33.8475016372703,151.304938275564,2010-11-12 13:58:01,Blow,98,1,1,0
1,-33.847540340488,151.304924611968,2010-11-12 13:58:06,Blow,97,1,1,0
1,-33.8475867843492,151.304908215653,2010-11-12 13:58:12,-,97,1,1,0
1,-33.8477338565763,151.304856293988,2010-11-12 13:58:31,Fluke Up Dive,95,1,1,0
1,-33.8479686103271,151.304776820829,2010-11-12 13:58:44,-,97,1,1,0
1,-33.8485763055159,151.304530954648,2010-11-12 13:59:19,Blow,100,1,1,0
1,-33.8485763055159,151.304530954648,2010-11-12 13:59:19,Blow,100,1,1,0
1,-33.848721339073,151.304490858075,2010-11-12 13:59:28,-,105,0,2,0
1,-33.8491242100651,151.304379478705,2010-11-12 13:59:53,Blow,120,0,2,0
1,-33.8491242100651,151.304379478705,2010-11-12 13:59:53,Tail Swipe,120,0,2,0
